MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Huskies_shot,Huskies_dual,Huskies_save_attempt,Has/OS
1,Opponent1,win,1,0,home,Coach1,8,236,2,99999
2,Opponent2,tie,1,1,away,Coach1,7,190,7,7
3,Opponent3,loss,0,2,away,Coach1,7,169,7,3.5
4,Opponent4,loss,0,3,home,Coach1,9,207,6,2
5,Opponent5,loss,0,4,away,Coach1,6,187,6,1.5
6,Opponent6,win,2,1,home,Coach1,15,239,4,4
7,Opponent7,loss,0,1,home,Coach1,24,234,2,2
8,Opponent8,tie,1,1,away,Coach1,11,238,3,3
9,Opponent9,loss,2,5,home,Coach1,7,183,14,2.8
10,Opponent10,loss,0,2,away,Coach2,13,244,3,1.5
11,Opponent11,win,3,2,home,Coach2,8,268,3,1.5
12,Opponent12,tie,2,2,away,Coach2,7,248,7,3.5
13,Opponent13,loss,1,4,away,Coach2,5,216,7,1.75
14,Opponent14,win,4,0,home,Coach2,6,265,2,99999
15,Opponent15,win,2,0,home,Coach3,6,284,2,99999
16,Opponent16,tie,1,1,away,Coach3,1,213,4,4
17,Opponent17,win,1,0,away,Coach3,7,234,4,99999
18,Opponent18,win,3,1,home,Coach3,10,202,3,3
19,Opponent3,tie,0,0,home,Coach3,4,240,7,99999
20,Opponent19,tie,0,0,away,Coach3,5,236,2,99999
21,Opponent6,loss,1,2,away,Coach3,7,262,7,3.5
22,Opponent5,loss,0,2,home,Coach3,10,216,6,3
23,Opponent4,loss,0,4,away,Coach3,5,239,10,2.5
24,Opponent19,tie,1,1,home,Coach3,8,317,5,5
25,Opponent10,win,2,1,home,Coach3,11,216,2,2
26,Opponent9,loss,1,5,away,Coach3,11,211,7,1.4
27,Opponent12,win,3,1,home,Coach3,8,208,4,4
28,Opponent11,loss,0,1,away,Coach3,4,266,5,5
29,Opponent7,loss,1,2,away,Coach3,10,268,10,5
30,Opponent8,win,2,0,home,Coach3,12,239,4,99999
31,Opponent1,win,2,1,away,Coach3,15,190,4,4
32,Opponent2,loss,1,3,home,Coach3,5,129,5,1.666666667
33,Opponent16,tie,0,0,home,Coach3,6,227,4,99999
34,Opponent18,tie,1,1,away,Coach3,10,230,6,6
35,Opponent17,win,1,0,home,Coach3,7,242,2,99999
36,Opponent15,win,2,0,away,Coach3,6,234,1,99999
37,Opponent13,tie,1,1,home,Coach3,6,268,5,5
38,Opponent14,loss,1,3,away,Coach3,13,160,4,1.333333333
